Image_ID,Image_Name,confidence,ymin,xmin,ymax,xmax,class,similarity
image_0016,image_0016-1.png,0.8682448863983154,0.6652777777777777,0.721875,0.7652777777777777,0.81015625,1,0.8047
image_0017,image_0017-0.png,0.8995325565338135,0.5555555555555556,0.38515625,0.6958333333333333,0.509375,1,0.8228
image_0017,image_0017-1.png,0.8764364123344421,0.5347222222222222,0.67265625,0.7,0.75390625,0,0.793
image_0017,image_0017-2.png,0.8691934943199158,0.6125,0.575,0.6861111111111111,0.6234375,1,0.807
image_0018,image_0018-0.png,0.9187889099121094,0.6277777777777778,0.28515625,0.7388888888888889,0.365625,1,0.8047
image_0018,image_0018-1.png,0.8893375396728516,0.625,0.7359375,0.7611111111111111,0.87734375,0,0.7754
image_0019,image_0019-0.png,0.8967536687850952,0.5972222222222222,0.371875,0.7416666666666667,0.49140625,1,0.8286
image_0019,image_0019-1.png,0.8923668265342712,0.6416666666666667,0.7953125,0.7569444444444444,0.8765625,1,0.799
image_0019,image_0019-2.png,0.8581811189651489,0.6194444444444445,0.553125,0.7305555555555555,0.675,0,0.7744
image_0020,image_0020-0.png,0.9147315621376038,0.6208333333333333,0.528125,0.7791666666666667,0.6546875,1,0.8135
image_0020,image_0020-1.png,0.8934484720230103,0.6305555555555555,0.846875,0.7625,0.91640625,1,0.8037
image_0021,image_0021-0.png,0.9070234298706056,0.6152777777777778,0.2078125,0.7555555555555555,0.2796875,0,0.771
image_0021,image_0021-1.png,0.8881667852401733,0.6541666666666667,0.4609375,0.7722222222222223,0.58984375,0,0.791
image_0022,image_0022-0.png,0.8968592286109924,0.6694444444444444,0.40859375,0.7805555555555556,0.5,0,0.7744
image_0023,image_0023-0.png,0.9095284342765808,0.6333333333333333,0.78984375,0.7194444444444444,0.86328125,0,0.779
image_0023,image_0023-1.png,0.8980239629745483,0.6277777777777778,0.64765625,0.7208333333333333,0.71875,0,0.7847
image_0023,image_0023-2.png,0.8710355758666992,0.5819444444444445,0.38828125,0.7083333333333334,0.475,0,0.7954
image_0024,image_0024-0.png,0.91972416639328,0.6430555555555556,0.7359375,0.8458333333333333,0.87109375,1,0.8228
image_0024,image_0024-1.png,0.9107111692428588,0.6819444444444445,0.2984375,0.8083333333333333,0.4,0,0.758
image_0024,image_0024-2.png,0.8895341753959656,0.6986111111111111,0.58984375,0.8236111111111111,0.665625,0,0.789
image_0025,image_0025-0.png,0.9118213653564452,0.6680555555555555,0.03125,0.8472222222222222,0.1203125,0,0.7876
image_0025,image_0025-1.png,0.8975300788879395,0.7583333333333333,0.6078125,0.9055555555555556,0.8,0,0.7554
image_0025,image_0025-2.png,0.8821542859077454,0.7319444444444444,0.334375,0.9111111111111112,0.44453125,0,0.7754
image_0026,image_0026-0.png,0.9022966623306274,0.6805555555555556,0.72734375,0.8097222222222222,0.83125,0,0.7856
image_0026,image_0026-1.png,0.9010770320892334,0.6458333333333334,0.21171875,0.8111111111111111,0.2984375,0,0.7856
image_0026,image_0026-2.png,0.8740142583847046,0.6722222222222223,0.38828125,0.8111111111111111,0.47265625,0,0.784
image_0027,image_0027-0.png,0.912799060344696,0.6888888888888889,0.88359375,0.8666666666666667,0.98203125,0,0.763
image_0027,image_0027-1.png,0.8987157940864563,0.6819444444444445,0.18515625,0.8736111111111111,0.2765625,0,0.7593
image_0027,image_0027-2.png,0.6629461646080017,0.6916666666666667,0.57109375,0.9027777777777778,0.746875,0,0.794
image_0028,image_0028-0.png,0.9067979454994202,0.6513888888888889,0.6484375,0.8625,0.7375,1,0.827
image_0029,image_0029-0.png,0.9100857377052308,0.6930555555555555,0.78671875,0.8597222222222223,0.896875,1,0.8374
image_0029,image_0029-1.png,0.905977725982666,0.675,0.21171875,0.8319444444444445,0.30078125,0,0.7915
image_0029,image_0029-2.png,0.8970053195953369,0.6944444444444444,0.06640625,0.825,0.16171875,1,0.8164
image_0030,image_0030-0.png,0.9097076654434204,0.625,0.38359375,0.775,0.48046875,0,0.7734
image_0030,image_0030-1.png,0.904020607471466,0.6375,0.62890625,0.7847222222222222,0.68984375,1,0.8022
image_0031,image_0031-0.png,0.8815436363220215,0.6597222222222222,0.31484375,0.7805555555555556,0.39765625,0,0.7896
image_0032,image_0032-0.png,0.9063436985015868,0.6486111111111111,0.6734375,0.7875,0.79609375,0,0.7905
image_0032,image_0032-1.png,0.9045308232307434,0.6513888888888889,0.15859375,0.7861111111111111,0.28359375,1,0.8037
image_0032,image_0032-2.png,0.8900647759437561,0.575,0.85859375,0.7902777777777777,0.94375,0,0.7627
image_0033,image_0033-0.png,0.9121054410934448,0.5305555555555556,0.66328125,0.8194444444444444,0.80234375,1,0.799
image_0033,image_0033-1.png,0.9109228849411012,0.6152777777777778,0.33125,0.7958333333333333,0.440625,1,0.82
image_0033,image_0033-2.png,0.892420768737793,0.6208333333333333,0.47578125,0.7875,0.5578125,1,0.8047
image_0034,image_0034-0.png,0.90976083278656,0.5972222222222222,0.4265625,0.7902777777777777,0.51875,1,0.815
image_0035,image_0035-0.png,0.921366572380066,0.5888888888888889,0.34296875,0.7652777777777777,0.484375,0,0.787
image_0035,image_0035-1.png,0.9189245104789734,0.6583333333333333,0.55859375,0.7791666666666667,0.646875,0,0.7876
image_0035,image_0035-2.png,0.8444792628288269,0.6583333333333333,0.74140625,0.7805555555555556,0.871875,0,0.771
image_0036,image_0036-0.png,0.9160364866256714,0.6319444444444444,0.6421875,0.7791666666666667,0.76484375,1,0.824
image_0036,image_0036-1.png,0.7948463559150696,0.6486111111111111,0.3875,0.7763888888888889,0.49140625,0,0.7812
image_0037,image_0037-0.png,0.9064303040504456,0.6208333333333333,0.72734375,0.7916666666666666,0.82578125,1,0.834
image_0038,image_0038-0.png,0.914723575115204,0.625,0.7984375,0.7819444444444444,0.940625,1,0.8076
image_0039,image_0039-0.png,0.8863998651504517,0.6,0.47421875,0.7277777777777777,0.56328125,1,0.8193
image_0040,image_0040-0.png,0.8168220520019531,0.6055555555555555,0.47109375,0.7652777777777777,0.540625,1,0.826
image_0040,image_0040-1.png,0.619769275188446,0.4111111111111111,0.915625,0.4583333333333333,0.9515625,1,0.821
image_0041,image_0041-0.png,0.9016925692558287,0.65,0.73671875,0.7819444444444444,0.84765625,1,0.8154
image_0041,image_0041-1.png,0.8886687159538269,0.6569444444444444,0.5125,0.7875,0.60078125,0,0.786
image_0042,image_0042-0.png,0.9064446091651917,0.6027777777777777,0.20625,0.7527777777777778,0.30703125,1,0.8237
image_0042,image_0042-1.png,0.9013859033584596,0.6361111111111111,0.53046875,0.8027777777777778,0.62421875,0,0.795
image_0042,image_0042-2.png,0.8997626900672913,0.6694444444444444,0.3765625,0.7666666666666667,0.50234375,0,0.7656
image_0042,image_0042-3.png,0.5209139585494995,0.0,0.27734375,0.0277777777777777,0.36328125,0,0.795
image_0043,image_0043-0.png,0.9123181104660034,0.6819444444444445,0.5453125,0.8097222222222222,0.64609375,0,0.798
image_0043,image_0043-1.png,0.9057092070579528,0.6777777777777778,0.37734375,0.8013888888888889,0.478125,1,0.807
image_0044,image_0044-0.png,0.9069187045097352,0.6416666666666667,0.75703125,0.7513888888888889,0.84375,0,0.7715
image_0044,image_0044-1.png,0.9046865105628968,0.6236111111111111,0.57890625,0.7472222222222222,0.69765625,1,0.802
image_0044,image_0044-2.png,0.889323890209198,0.6097222222222223,0.33828125,0.7375,0.428125,0,0.7915
image_0045,image_0045-0.png,0.9118133187294006,0.6236111111111111,0.221875,0.7208333333333333,0.30078125,1,0.8
image_0045,image_0045-1.png,0.8841935992240906,0.6166666666666667,0.53671875,0.7416666666666667,0.640625,0,0.787
image_0046,image_0046-0.png,0.9086962938308716,0.6555555555555556,0.63046875,0.7541666666666667,0.696875,0,0.788
image_0046,image_0046-1.png,0.9031441807746888,0.6055555555555555,0.796875,0.7527777777777778,0.890625,1,0.812
image_0046,image_0046-2.png,0.8988262414932251,0.5875,0.4421875,0.7458333333333333,0.51015625,0,0.7944
image_0047,image_0047-0.png,0.9068204760551452,0.6111111111111112,0.42421875,0.7486111111111111,0.53984375,0,0.792
image_0047,image_0047-1.png,0.8995709419250488,0.6527777777777778,0.61875,0.7569444444444444,0.68984375,0,0.7944
image_0047,image_0047-2.png,0.8828273415565491,0.5986111111111111,0.309375,0.7458333333333333,0.36328125,0,0.7915
image_0048,image_0048-0.png,0.9207301139831544,0.5958333333333333,0.7015625,0.8958333333333334,0.840625,0,0.759
image_0048,image_0048-1.png,0.8988016247749329,0.7125,0.5015625,0.8916666666666667,0.6203125,0,0.7856
image_0048,image_0048-2.png,0.8950866460800171,0.6777777777777778,0.36796875,0.8027777777777778,0.46875,0,0.7695
image_0049,image_0049-0.png,0.92262065410614,0.6652777777777777,0.40546875,0.8513888888888889,0.56015625,1,0.8135
image_0049,image_0049-1.png,0.8947480916976929,0.6652777777777777,0.30703125,0.825,0.390625,1,0.84
image_0049,image_0049-2.png,0.8353148102760315,0.7111111111111111,0.56640625,0.8402777777777778,0.640625,0,0.7944
image_0050,image_0050-0.png,0.9135766625404358,0.7569444444444444,0.56171875,0.9597222222222224,0.71640625,0,0.7676
image_0051,image_0051-0.png,0.896178662776947,0.6625,0.565625,0.8069444444444445,0.74140625,0,0.7793
image_0051,image_0051-1.png,0.8931964635848999,0.6569444444444444,0.4359375,0.7986111111111112,0.559375,0,0.778
image_0051,image_0051-2.png,0.8856508731842041,0.6486111111111111,0.284375,0.7972222222222223,0.38125,0,0.777
image_0052,image_0052-0.png,0.864820659160614,0.6694444444444444,0.3640625,0.8125,0.43203125,1,0.8105
image_0052,image_0052-1.png,0.7915131449699402,0.6819444444444445,0.48359375,0.8097222222222222,0.6,1,0.832
image_0053,image_0053-0.png,0.8954537510871887,0.6680555555555555,0.3640625,0.8555555555555555,0.4609375,0,0.7827
image_0054,image_0054-0.png,0.907805562019348,0.7055555555555556,0.19296875,0.8583333333333333,0.34609375,1,0.809
image_0055,image_0055-0.png,0.8996940851211548,0.75,0.38359375,0.8958333333333334,0.51328125,1,0.818
image_0056,image_0056-0.png,0.9326297044754028,0.6111111111111112,0.428125,0.8388888888888889,0.5296875,1,0.8105
image_0056,image_0056-1.png,0.9146803021430968,0.6305555555555555,0.25625,0.7916666666666666,0.37578125,0,0.7656
image_0056,image_0056-2.png,0.906557321548462,0.6638888888888889,0.64765625,0.8194444444444444,0.74453125,1,0.8105
image_0057,image_0057-0.png,0.8992370963096619,0.6486111111111111,0.0484375,0.7597222222222222,0.14609375,0,0.797
image_0057,image_0057-1.png,0.8855756521224976,0.6777777777777778,0.84765625,0.8069444444444445,0.94921875,1,0.8267
image_0057,image_0057-2.png,0.8831149339675903,0.6416666666666667,0.3828125,0.7861111111111111,0.496875,1,0.8164
image_0058,image_0058-0.png,0.911087453365326,0.6375,0.71015625,0.8027777777777778,0.83515625,1,0.8145
image_0059,image_0059-0.png,0.8995305299758911,0.7361111111111112,0.5546875,0.9013888888888888,0.6703125,0,0.787
image_0059,image_0059-1.png,0.8888968229293823,0.7444444444444445,0.79296875,0.8569444444444444,0.91484375,0,0.7686
image_0059,image_0059-2.png,0.8881727457046509,0.5902777777777778,0.14609375,0.8583333333333333,0.27421875,0,0.7705
image_0060,image_0060-0.png,0.8999655842781067,0.5916666666666667,0.38125,0.7236111111111111,0.4890625,1,0.8037
image_0060,image_0060-1.png,0.8859057426452637,0.6208333333333333,0.63515625,0.7513888888888889,0.7046875,0,0.7676
image_0061,image_0061-0.png,0.9193450212478638,0.6527777777777778,0.55078125,0.8347222222222223,0.70078125,1,0.8003
image_0062,image_0062-0.png,0.8362177014350891,0.6763888888888889,0.0390625,0.9541666666666668,0.1984375,1,0.81
image_0063,image_0063-0.png,0.9110186696052552,0.6625,0.203125,0.8819444444444444,0.378125,1,0.8086
image_0064,image_0064-0.png,0.8982897400856018,0.6666666666666666,0.62890625,0.7916666666666666,0.725,0,0.7544
image_0064,image_0064-1.png,0.8857749700546265,0.6833333333333333,0.3265625,0.7972222222222223,0.4453125,0,0.793
image_0064,image_0064-2.png,0.8778257369995117,0.6194444444444445,0.90625,0.7833333333333333,0.97734375,0,0.7666
image_0065,image_0065-0.png,0.9107320308685304,0.6861111111111111,0.4921875,0.8527777777777777,0.63515625,1,0.824
image_0065,image_0065-1.png,0.9073383808135986,0.6388888888888888,0.8578125,0.8444444444444444,0.9453125,0,0.743
image_0066,image_0066-0.png,0.8895963430404663,0.6875,0.3671875,0.8208333333333333,0.49921875,0,0.7695
image_0066,image_0066-1.png,0.8768868446350098,0.6680555555555555,0.6734375,0.8152777777777778,0.78671875,0,0.7944
image_0067,image_0067-0.png,0.841564416885376,0.6319444444444444,0.5734375,0.8388888888888889,0.66484375,0,0.739
image_0068,image_0068-0.png,0.8984048962593079,0.7263888888888889,0.64609375,0.9569444444444444,0.74921875,0,0.794
image_0068,image_0068-1.png,0.887296736240387,0.7263888888888889,0.35859375,0.9125,0.49921875,1,0.817
image_0068,image_0068-2.png,0.8456539511680603,0.7375,0.8046875,0.8722222222222222,0.91796875,0,0.7954
image_0069,image_0069-0.png,0.9167507886886596,0.6680555555555555,0.4296875,0.8680555555555556,0.59296875,1,0.81
image_0069,image_0069-1.png,0.8928931355476379,0.7013888888888888,0.11953125,0.8527777777777777,0.2453125,0,0.7803
image_0070,image_0070-0.png,0.8913135528564453,0.6805555555555556,0.23125,0.9194444444444444,0.34609375,1,0.804
image_0071,image_0071-0.png,0.920034110546112,0.7041666666666667,0.5140625,0.9361111111111112,0.684375,0,0.7397
image_0071,image_0071-1.png,0.9074614644050598,0.7513888888888889,0.3484375,0.9361111111111112,0.48203125,0,0.775
image_0071,image_0071-2.png,0.879310131072998,0.6958333333333333,0.09921875,0.9125,0.21015625,0,0.7646
image_0072,image_0072-0.png,0.9107106924057008,0.6888888888888889,0.534375,0.9388888888888888,0.6375,1,0.8486
image_0072,image_0072-1.png,0.9027158617973328,0.6902777777777778,0.22578125,0.9583333333333334,0.384375,0,0.7705
image_0073,image_0073-0.png,0.902007818222046,0.6944444444444444,0.6921875,0.9638888888888888,0.8484375,0,0.7764
image_0074,image_0074-0.png,0.9066810607910156,0.6236111111111111,0.5546875,0.9680555555555556,0.69609375,0,0.7964
image_0074,image_0074-1.png,0.8993357419967651,0.7361111111111112,0.2546875,0.9625,0.365625,0,0.7812
image_0074,image_0074-2.png,0.8942791223526001,0.7736111111111111,0.69765625,0.9638888888888888,0.83984375,1,0.816
image_0075,image_0075-0.png,0.9100635051727296,0.7430555555555556,0.2796875,0.9291666666666668,0.40390625,0,0.7773
image_0075,image_0075-1.png,0.9042532444000244,0.7375,0.7734375,0.9125,0.9109375,0,0.7744
image_0075,image_0075-2.png,0.9036045074462892,0.7194444444444444,0.45,0.875,0.628125,0,0.788
image_0076,image_0076-0.png,0.9100932478904724,0.7569444444444444,0.1671875,1.0,0.28671875,1,0.7993
image_0076,image_0076-1.png,0.896551251411438,0.725,0.884375,0.9847222222222224,0.98828125,0,0.7476
image_0077,image_0077-0.png,0.9233463406562804,0.6805555555555556,0.628125,0.8694444444444445,0.7515625,0,0.787
image_0077,image_0077-1.png,0.9217647910118104,0.6944444444444444,0.78671875,0.8819444444444444,0.90390625,1,0.8203
image_0077,image_0077-2.png,0.8946815729141235,0.6958333333333333,0.36328125,0.8680555555555556,0.50625,0,0.794
image_0078,image_0078-0.png,0.9131973385810852,0.7958333333333333,0.121875,0.9888888888888888,0.29453125,0,0.792
image_0078,image_0078-1.png,0.8970228433609009,0.7458333333333333,0.46484375,0.9361111111111112,0.59765625,0,0.7544
image_0078,image_0078-2.png,0.8789921402931213,0.5916666666666667,0.70625,1.0,0.8796875,0,0.7773
image_0079,image_0079-0.png,0.9049445390701294,0.7208333333333333,0.428125,0.8805555555555555,0.5484375,0,0.776
image_0080,image_0080-0.png,0.910971701145172,0.7527777777777778,0.23828125,0.9152777777777776,0.365625,1,0.8193
image_0080,image_0080-1.png,0.8673587441444397,0.7791666666666667,0.66796875,0.9013888888888888,0.78203125,1,0.8086
image_0080,image_0080-2.png,0.8237774968147278,0.6916666666666667,0.46875,0.9041666666666668,0.546875,0,0.7754
image_0081,image_0081-0.png,0.9208983778953552,0.5611111111111111,0.30234375,0.8333333333333334,0.403125,1,0.811
image_0081,image_0081-1.png,0.8442460894584656,0.7041666666666667,0.53359375,0.8277777777777777,0.61328125,0,0.768
image_0082,image_0082-0.png,0.9158170223236084,0.7763888888888889,0.0859375,0.9277777777777778,0.26015625,0,0.7866
image_0082,image_0082-1.png,0.8661089539527893,0.7125,0.35546875,0.9708333333333332,0.59453125,0,0.779
image_0083,image_0083-0.png,0.8978658318519592,0.6875,0.6015625,0.8569444444444444,0.6875,0,0.7954
image_0084,image_0084-0.png,0.921239733695984,0.6972222222222222,0.41171875,0.9027777777777778,0.540625,0,0.7754
image_0084,image_0084-1.png,0.9193230867385864,0.7291666666666666,0.64140625,0.8833333333333333,0.753125,0,0.751
image_0084,image_0084-2.png,0.8972383737564087,0.6861111111111111,0.253125,0.8513888888888889,0.3484375,0,0.7705
image_0085,image_0085-0.png,0.919799268245697,0.7208333333333333,0.50703125,0.8819444444444444,0.64609375,1,0.8027
image_0085,image_0085-1.png,0.8753883838653564,0.7291666666666666,0.32421875,0.8763888888888889,0.41015625,0,0.7856
image_0086,image_0086-0.png,0.8860150575637817,0.7305555555555555,0.34921875,0.8736111111111111,0.471875,0,0.7827
image_0087,image_0087-0.png,0.9260644912719728,0.6597222222222222,0.56484375,0.7652777777777777,0.6578125,0,0.7783
image_0087,image_0087-1.png,0.9196142554283142,0.6694444444444444,0.41328125,0.7611111111111111,0.49609375,0,0.7544
image_0087,image_0087-2.png,0.8832386136054993,0.6430555555555556,0.2734375,0.7444444444444445,0.33125,0,0.7417
image_0088,image_0088-0.png,0.9265040755271912,0.6486111111111111,0.40859375,0.8166666666666667,0.5375,1,0.8228
image_0088,image_0088-1.png,0.8884655833244324,0.6833333333333333,0.87265625,0.7986111111111112,0.9765625,0,0.7666
image_0088,image_0088-2.png,0.7228930592536926,0.6472222222222223,0.11328125,0.7958333333333333,0.27578125,1,0.8003
image_0088,image_0088-3.png,0.5700515508651733,0.6888888888888889,0.11328125,0.7541666666666667,0.1640625,0,0.7593
image_0089,image_0089-0.png,0.9062201380729676,0.7069444444444445,0.74609375,0.85,0.8578125,1,0.801
image_0089,image_0089-1.png,0.8849412798881531,0.6458333333333334,0.6125,0.8333333333333334,0.70859375,0,0.74
image_0090,image_0090-0.png,0.9074492454528807,0.5041666666666667,0.22421875,0.8194444444444444,0.36484375,0,0.781
image_0090,image_0090-1.png,0.8902934789657593,0.6722222222222223,0.4328125,0.7930555555555555,0.515625,0,0.7764
image_0091,image_0091-0.png,0.8977444171905518,0.6208333333333333,0.153125,0.7833333333333333,0.24765625,1,0.823
image_0092,image_0092-0.png,0.9251612424850464,0.5277777777777778,0.1515625,0.7805555555555556,0.25859375,0,0.788
image_0092,image_0092-1.png,0.9126278758049012,0.4861111111111111,0.5671875,0.8013888888888889,0.68046875,1,0.835
image_0092,image_0092-2.png,0.8304577469825745,0.6083333333333333,0.4453125,0.7819444444444444,0.51875,0,0.7705
image_0093,image_0093-0.png,0.9300719499588012,0.5222222222222223,0.6765625,0.7777777777777778,0.8375,0,0.7925
image_0093,image_0093-1.png,0.8628307580947876,0.6166666666666667,0.27265625,0.7416666666666667,0.36171875,0,0.7505
image_0094,image_0094-0.png,0.8802881240844727,0.6444444444444445,0.6125,0.8180555555555555,0.70546875,0,0.7734
image_0095,image_0095-0.png,0.9106707572937012,0.6888888888888889,0.81171875,0.9569444444444444,0.91796875,0,0.798
image_0095,image_0095-1.png,0.8979471325874329,0.5486111111111112,0.0,0.9486111111111112,0.19921875,1,0.8096
image_0095,image_0095-2.png,0.7417281866073608,0.5597222222222222,0.5453125,0.9847222222222224,0.73359375,0,0.775
image_0096,image_0096-0.png,0.9087331295013428,0.6472222222222223,0.74375,0.7875,0.8265625,0,0.7744
image_0096,image_0096-1.png,0.8729408383369446,0.6819444444444445,0.409375,0.8416666666666667,0.515625,1,0.812
image_0097,image_0097-0.png,0.9400396943092346,0.7486111111111111,0.66953125,0.9555555555555556,0.840625,0,0.7954
image_0097,image_0097-1.png,0.8932657837867737,0.7069444444444445,0.2390625,1.0,0.33671875,1,0.8276
image_0098,image_0098-0.png,0.9191341996192932,0.6583333333333333,0.48046875,0.8430555555555556,0.5703125,0,0.782
image_0098,image_0098-1.png,0.9007292985916138,0.6805555555555556,0.28203125,0.8513888888888889,0.37578125,0,0.7603
image_0099,image_0099-0.png,0.931833565235138,0.7111111111111111,0.29453125,0.8930555555555556,0.41796875,0,0.797
image_0100,image_0100-0.png,0.899926483631134,0.6097222222222223,0.3,0.7347222222222223,0.371875,0,0.7954
image_0100,image_0100-1.png,0.870963454246521,0.5944444444444444,0.5609375,0.7541666666666667,0.61328125,1,0.8013
image_0101,image_0101-0.png,0.8878905773162842,0.6388888888888888,0.140625,0.7333333333333333,0.22265625,0,0.7837
image_0102,image_0102-0.png,0.9078542590141296,0.6472222222222223,0.09453125,0.7333333333333333,0.18203125,0,0.781
image_0103,image_0103-0.png,0.8883183598518372,0.7027777777777777,0.56484375,0.8527777777777777,0.66796875,1,0.8027
image_0104,image_0104-0.png,0.8973581194877625,0.6666666666666666,0.37421875,0.8388888888888889,0.4703125,1,0.801
image_0104,image_0104-1.png,0.8740754723548889,0.7263888888888889,0.7484375,0.8222222222222222,0.878125,1,0.807
image_0105,image_0105-0.png,0.8577756285667419,0.6347222222222222,0.5609375,0.8222222222222222,0.625,0,0.785
image_0106,image_0106-0.png,0.9142943620681764,0.5347222222222222,0.60234375,0.8611111111111112,0.77734375,1,0.8003
image_0106,image_0106-1.png,0.8687974810600281,0.625,0.29296875,0.7833333333333333,0.34609375,0,0.786
image_0106,image_0106-2.png,0.8414153456687927,0.6875,0.40703125,0.8666666666666667,0.5875,1,0.803
image_0107,image_0107-0.png,0.9017028212547302,0.6333333333333333,0.21796875,0.7583333333333333,0.27421875,0,0.783
image_0108,image_0108-0.png,0.925497829914093,0.6597222222222222,0.6265625,0.8319444444444445,0.7921875,0,0.7974
image_0108,image_0108-1.png,0.9022154808044434,0.6263888888888889,0.38125,0.7763888888888889,0.46171875,1,0.814
image_0108,image_0108-2.png,0.8861001133918762,0.6777777777777778,0.2171875,0.7833333333333333,0.3453125,1,0.8086
image_0109,image_0109-0.png,0.9038214087486268,0.625,0.30234375,0.7277777777777777,0.37421875,1,0.831
image_0109,image_0109-1.png,0.8710693717002869,0.6555555555555556,0.6109375,0.7736111111111111,0.725,0,0.7563
image_0110,image_0110-0.png,0.9142341017723083,0.6916666666666667,0.14296875,0.8527777777777777,0.259375,0,0.7817
image_0110,image_0110-1.png,0.9001231789588928,0.6972222222222222,0.45859375,0.8694444444444445,0.5703125,1,0.811
image_0110,image_0110-2.png,0.8978581428527832,0.7263888888888889,0.88046875,0.9,0.99453125,1,0.8096
image_0111,image_0111-0.png,0.9079128503799438,0.6166666666666667,0.3140625,0.775,0.459375,1,0.8096
image_0111,image_0111-1.png,0.8948500752449036,0.6166666666666667,0.22265625,0.7638888888888888,0.27734375,0,0.796
image_0111,image_0111-2.png,0.887867271900177,0.6486111111111111,0.6015625,0.7902777777777777,0.65703125,1,0.7993
image_0112,image_0112-0.png,0.8932424783706665,0.7083333333333334,0.5421875,0.8611111111111112,0.66953125,1,0.808
image_0112,image_0112-1.png,0.8764566779136658,0.7291666666666666,0.3390625,0.8402777777777778,0.46484375,0,0.7925
