path,annotation
audio/tiencheng_speech_09.wav,speech_09.txt
audio/tiencheng_speech_10.wav,speech_10.txt
audio/tiencheng_speech_11.wav,speech_100.txt
audio/tiencheng_speech_12.wav,speech_11.txt
audio/tiencheng_speech_13.wav,speech_12.txt
audio/tiencheng_speech_14.wav,speech_13.txt
audio/tiencheng_speech_15.wav,speech_14.txt
audio/tiencheng_speech_16.wav,speech_15.txt
audio/tiencheng_speech_17.wav,speech_16.txt
audio/tiencheng_speech_18.wav,speech_17.txt
audio/tiencheng_speech_19.wav,speech_18.txt
audio/tiencheng_speech_20.wav,speech_19.txt
audio/tiencheng_speech_21.wav,speech_20.txt
audio/tiencheng_speech_22.wav,speech_21.txt
audio/tiencheng_speech_23.wav,speech_22.txt
audio/tiencheng_speech_24.wav,speech_23.txt
audio/tiencheng_speech_25.wav,speech_24.txt
audio/tiencheng_speech_26.wav,speech_25.txt
audio/tiencheng_speech_27.wav,speech_26.txt
audio/tiencheng_speech_28.wav,speech_27.txt
audio/tiencheng_speech_29.wav,speech_28.txt
audio/tiencheng_speech_30.wav,speech_29.txt
audio/tiencheng_speech_31.wav,speech_30.txt
audio/tiencheng_speech_32.wav,speech_31.txt
audio/tiencheng_speech_33.wav,speech_32.txt
audio/tiencheng_speech_34.wav,speech_33.txt
audio/tiencheng_speech_35.wav,speech_34.txt
audio/tiencheng_speech_36.wav,speech_35.txt
audio/tiencheng_speech_37.wav,speech_36.txt
audio/tiencheng_speech_38.wav,speech_37.txt
audio/tiencheng_speech_39.wav,speech_38.txt
audio/tiencheng_speech_40.wav,speech_39.txt
audio/tiencheng_speech_41.wav,speech_40.txt
audio/tiencheng_speech_42.wav,speech_41.txt
audio/tiencheng_speech_43.wav,speech_42.txt
audio/tiencheng_speech_44.wav,speech_43.txt
audio/tiencheng_speech_45.wav,speech_44.txt
audio/tiencheng_speech_46.wav,speech_45.txt
audio/tiencheng_speech_47.wav,speech_46.txt
audio/tiencheng_speech_48.wav,speech_47.txt
audio/tiencheng_speech_49.wav,speech_48.txt
audio/tiencheng_speech_50.wav,speech_49.txt
audio/tiencheng_speech_51.wav,speech_50.txt
audio/tiencheng_speech_52.wav,speech_51.txt
audio/tiencheng_speech_53.wav,speech_52.txt
audio/tiencheng_speech_54.wav,speech_53.txt
